TOKENS | LEXEMAS
-----------------
INT   int
ID var
ATR   =
NUM_FLOAT   2.4
SEMICOLON   ;
BOOL   bool
ID flag
ATR   =
FALSE   false
SEMICOLON   ;
IF   if
PARENT_OP   (
ID flag
EQUAL   ==
FALSE   false
PARENT_CL   )
CHAVE_OP   {
RETURN   return
NUM_INT   1
SEMICOLON   ;
CHAR   char
ID var2
ATR   =
CARACTERE   b
SEMICOLON   ;
ID cont
ATR   =
NUM_INT   1
SEMICOLON   ;
CHAVE_CL   }
ELSE   else
CHAVE_OP   {
DOUBLE   double
ID var3
ATR   =
NUM_INT   49
SEMICOLON   ;
ID var4
ATR   =
NUM_INT   34
SEMICOLON   ;
CHAVE_CL   }
